r/R,UzMean,Tmean,RSS,THFr,TKE,Pk,Bk
0.945,0.0965429625,309.94841666666696,0.0401207958333333,-25023.8375,0.46423276275099096,75.5683166666667,0.0965429625
0.94,0.10580900862069,310.391939655172,0.0449934956896552,-25661.4568965517,0.49464910087096803,79.57572413793109,0.10580900862069
0.935,0.114356205357143,310.781517857143,0.0494579464285714,-26196.428571428598,0.516527015549457,81.33825,0.114356205357143
0.93,0.122624784482759,311.159094827586,0.0534545086206897,-26609.1077586207,0.53155625245002,81.1275818965517,0.122624784482759
0.925,0.130194347826087,311.512010869565,0.0571557717391304,-27007.244565217403,0.540548818593447,80.0355108695652,0.130194347826087
0.92,0.136101510416667,311.776666666667,0.0591643645833333,-26879.2916666667,0.5421768832484,77.48230208333341,0.136101510416667
0.915,0.14179025,312.01895,0.06162981,-27098.405,0.541924278060891,74.50879499999999,0.14179025
0.91,0.14773927884615398,312.28307692307703,0.0641446298076923,-27452.3653846154,0.5384644282282459,71.3448990384615,0.14773927884615398
0.905,0.153530721153846,312.542980769231,0.0663216875,-27493.4855769231,0.531657645568857,67.5377067307692,0.153530721153846
0.9,0.1597216015625,312.8398046875,0.06827218359375,-27491.53125,0.522903140516791,63.09783203125,0.1597216015625
0.89,0.1667600625,313.17934375,0.070235303125,-27342.309375,0.508541054161767,57.243984375,0.1667600625
0.88,0.174001075581395,313.530988372093,0.0721542645348837,-27551.3488372093,0.490352088708183,51.20000872093021,0.174001075581395
0.87,0.18048842261904802,313.859613095238,0.0735209196428572,-27361.0922619048,0.472367823387032,45.496875,0.18048842261904802
0.86,0.18641917857142803,314.185392857143,0.0742645178571428,-27188.2892857143,0.455929047432379,40.7200571428571,0.18641917857142803
0.85,0.191260833333334,314.455451388889,0.0749341111111111,-27151.288194444398,0.4407139266373389,36.9745520833334,0.191260833333334
0.84,0.19573925,314.716107142857,0.0754127321428571,-26989.3821428571,0.42606358850870796,33.625321428571404,0.19573925
0.83,0.199928214285714,314.970428571429,0.0754169249999999,-26668.3821428571,0.41232509193406897,30.60075,0.199928214285714
0.82,0.203689453125,315.2075,0.0752929648437501,-26387.265625,0.40039297293544995,28.08311328125,0.203689453125
0.81,0.2072486328125,315.4449609375,0.07506079296875,-26140.328125,0.38973344807591803,26.00328515625,0.2072486328125
0.8,0.210551532258065,315.670524193549,0.0747099798387097,-25814.854838709703,0.378943319718601,24.1694879032258,0.210551532258065
0.79,0.21353736607142898,315.879732142857,0.0744139776785714,-25606.008928571402,0.36995190961527696,22.6047142857143,0.21353736607142898
0.78,0.216324568965517,316.08103448275904,0.0739236767241379,-25334.474137931,0.361852744247242,21.245775862069,0.216324568965517
0.77,0.218848842592592,316.265092592593,0.0735386203703704,-25169.7916666667,0.354617833238963,20.099689814814802,0.218848842592592
0.76,0.22160152777777803,316.473518518519,0.0724506574074074,-24722.6296296296,0.345801815797242,18.9025694444444,0.22160152777777803
0.75,0.223829519230769,316.64447115384604,0.0722992740384616,-24680.5721153846,0.34008137834333396,18.1485240384615,0.223829519230769
0.74,0.22633689814814803,316.844444444444,0.0714828657407407,-24332.050925925898,0.33313267370336497,17.2817777777778,0.22633689814814803
0.73,0.228883703703704,317.051944444444,0.070781550925926,-24023.4537037037,0.32618943914514303,16.4659722222222,0.228883703703704
0.72,0.2313919375,317.2669375,0.06987761875,-23683.0375,0.32046550372402993,15.7564125,0.2313919375
0.71,0.233036875,317.398489583333,0.0690702864583334,-23392.3020833333,0.31446042401672497,15.1674427083333,0.233036875
0.7,0.235292175925926,317.589444444444,0.0682373379629629,-23102.162037037004,0.308139388571899,14.546912037037101,0.235292175925926
0.6857142857142859,0.23797015625,317.821484375,0.06734194921875,-22747.265625,0.30117463127205,13.92595390625,0.23797015625
0.671428571428571,0.240894556451613,318.073427419355,0.0658422903225806,-22232.6330645161,0.293061544492356,13.2141016129032,0.240894556451613
0.6571428571428571,0.24357409482758605,318.308793103448,0.0647153793103448,-21781.948275862098,0.28654128198542794,12.6673103448276,0.24357409482758605
0.6428571428571429,0.24615793103448302,318.537672413793,0.0635487931034483,-21356.5560344828,0.28027097780000604,12.1355443965517,0.24615793103448302
0.628571428571429,0.24882969298245602,318.77719298245603,0.0623039342105263,-20884.6973684211,0.274203557371149,11.644604385964902,0.24882969298245602
0.614285714285714,0.251488640350877,319.01855263157904,0.0608040877192982,-20346.899122807,0.26793603471634797,11.0530771929825,0.251488640350877
0.6,0.254032543103448,319.251853448276,0.0595743146551724,-19869.3060344828,0.262545790021492,10.5805038793104,0.254032543103448
0.5857142857142861,0.256679897959184,319.493112244898,0.0580462755102041,-19274.4897959184,0.25633471734440494,10.0428530612245,0.256679897959184
0.5714285714285711,0.258570625,319.66828125,0.0572158802083333,-18948.9270833333,0.252480032340259,9.7660171875,0.258570625
0.557142857142857,0.260760102040816,319.874642857143,0.055788056122449005,-18476.8520408163,0.247055643111812,9.30711683673469,0.260760102040816
0.5428571428571429,0.263055784313726,320.09,0.0545273529411764,-18045.6274509804,0.24172873382987098,8.9655181372549,0.263055784313726
0.5285714285714289,0.265322872340425,320.30085106383,0.0532829734042554,-17586.2180851064,0.23664409173429402,8.652043617021281,0.265322872340425
0.5142857142857139,0.26771189024390196,320.522317073171,0.0517975548780488,-17062.7073170732,0.23071934168969302,8.26630121951219,0.26771189024390196
0.5,0.269825792682927,320.715670731707,0.050411243902439,-16579.4878048781,0.225720345600163,7.9241743902439,0.269825792682927
0.48571428571428604,0.271660065789474,320.883421052631,0.0494804868421053,-16258.059210526299,0.22162782740858397,7.67370460526316,0.271660065789474
0.47142857142857103,0.27397030487804896,321.096463414634,0.0479319451219512,-15735.9817073171,0.215922338760824,7.22089451219512,0.27397030487804896
0.4571428571428571,0.275893560606061,321.27318181818197,0.0468082348484849,-15356.5303030303,0.21159943218939697,6.88720833333333,0.275893560606061
0.4428571428571429,0.277956323529412,321.462058823529,0.0454388382352941,-14865.970588235301,0.20671007524922902,6.47928014705883,0.277956323529412
0.42857142857142894,0.279865161290323,321.637822580645,0.04417625,-14413.6451612903,0.20217003241402304,6.11298467741935,0.279865161290323
0.414285714285714,0.281516290322581,321.786532258064,0.0430422016129032,-14065.435483871,0.198375294529238,5.85190322580645,0.281516290322581
0.4,0.28341633333333305,321.96025,0.0416869083333333,-13611.208333333301,0.193841412953526,5.50670083333333,0.28341633333333305
0.38571428571428606,0.28531669354838696,322.132661290323,0.0403275080645161,-13155.6209677419,0.189392205460224,5.18768387096774,0.28531669354838696
0.37142857142857105,0.28710209999999997,322.2922,0.03924958,-12752.99,0.185348621455638,4.90755,0.28710209999999997
