z/D,Tb,hb,Reb,Ub,tau_w,Cf,Tw,Nub,G,p
5.5375,328.51851454045,448756.286351125,5343.7450458314,0.265862878750824,0.120009916666667,0.0670278664953565,286.668666666667,96.7059351455616,53.875836,8
5.8625,327.825953252417,447269.922087362,5335.87852139531,0.263430769551425,0.121807625,0.0686600222156707,287.001791666667,98.5474776033188,53.875836,8
6.1875,327.145730665024,445771.461330049,5327.3466755208,0.261001094734239,0.122868208333333,0.0699025729255156,287.1915,100.068722844295,53.875836,8
6.5125,326.477978196736,444285.956393472,5318.58345740434,0.258584908784377,0.123680666666667,0.0710222794416055,287.295791666667,101.383929246085,53.875836,8
6.8375,325.822755783354,442795.511566707,5309.05830578933,0.256170209833903,0.124023375,0.0718903977079673,287.317541666667,102.470402703285,53.875836,8
7.1625,325.180217805403,441300.435610805,5299.00573464281,0.253756947525784,0.123935,0.0725223710291379,287.229166666667,103.235446467173,53.875836,8
7.4875,324.550493872771,439801.481618313,5288.43843835949,0.251335755325358,0.124023583333333,0.0732733358108192,287.140125,103.956167993724,53.875836,8
7.8125,323.933619301765,438317.238603531,5277.26448457323,0.248936879441703,0.124015791666667,0.0739747853401533,287.036708333333,104.601517995392,53.875836,8
8.1375,323.329696135387,436829.392270773,5265.33474516995,0.246536453845638,0.12400225,0.0746868916803107,286.970125,105.306608745073,53.875836,8
8.4625,322.738797246891,435333.860242746,5252.91287348536,0.244138502789293,0.123732541666667,0.0752564316478811,286.865416666667,105.851995836368,53.875836,8
8.7875,322.160996446304,433848.487562066,5239.84604758428,0.241752851425455,0.123166666666667,0.0756515007024188,286.706583333333,106.189338194487,53.875836,8
9.1125,321.596327899982,432351.431766626,5226.25759644656,0.23936067066064,0.122617583333333,0.0760669361773919,286.524833333333,106.392243208153,53.875836,8
9.4375,321.044869305682,430858.028379924,5211.85495329207,0.236976127918693,0.122091375,0.0765026273569167,286.374083333333,106.633120541336,53.875836,8
9.7625,320.50666074756,429373.312616459,5197.02583233882,0.234606542155356,0.121550666666667,0.0769330927011612,286.228083333333,106.826160039671,53.875836,8
10.0875,319.981723824207,427881.26353122,5181.40821233364,0.232246442808308,0.121060208333333,0.0774013099576941,286.077458333333,106.944104858156,53.875836,8
10.4125,319.470099167163,426400.231390048,5165.22411658517,0.229895144835492,0.120845916666667,0.0780545358653435,285.96325,107.116111961461,53.875836,8
10.7375,318.971787785399,424904.76742773,5148.48260491197,0.227542288990317,0.120428,0.078588919180197,285.82225,107.128152320139,53.875836,8
11.0625,318.486792806493,423404.780817315,5130.84607789574,0.225179551464841,0.119987083333333,0.0791227752036655,285.68675,107.087189221933,53.875836,8
11.3875,318.015124569865,421920.498279459,5112.53555577778,0.22284687013093,0.11963875,0.0797188991341465,285.545625,106.967674533103,53.875836,8
11.7125,317.556745361563,420420.354127034,5093.60283362606,0.220510897328303,0.119273791666667,0.0803176390329814,285.5115,107.122734009368,53.875836,8
12.0375,317.111642698687,418932.392144093,5074.22739547788,0.218189094871315,0.118728875,0.0808014727798871,285.378291666667,106.890271689526,53.875836,8
12.3625,316.679768159183,417446.048424488,5053.93020975822,0.215882295834111,0.118401625,0.0814397814730753,285.30225,106.775400737651,53.875836,8
12.6875,316.261076712542,415949.845206438,5033.08411207606,0.213571473582564,0.118190083333333,0.0821738735516818,285.2190,106.56432636834,53.875836,8
13.0125,315.855499865066,414454.749392798,5011.5599816723,0.211269087913769,0.117804583333333,0.0827984477328206,285.0630,106.026202889656,53.875836,8
13.3375,315.462967726349,412968.354768571,4989.40196110108,0.208996618451352,0.11715575,0.0832377465055023,284.854583333333,105.246236756601,53.875836,8
13.6625,315.083387877176,411474.626257252,4966.45865764866,0.20671766931913,0.116663458333333,0.0838017738095246,284.69825,104.562863673246,53.875836,8
13.9875,314.716668970696,409991.67933883,4943.11537069962,0.204467566710075,0.116258,0.0844295323156214,284.553333333334,103.855195440733,53.875836,8
14.3125,314.362684869861,408493.424349303,4918.83665378703,0.202208682160738,0.115977166666667,0.0851664726986986,284.466166666667,103.264619397096,53.875836,8
14.6375,314.021328806829,407005.315227317,4894.10029600033,0.199976930784215,0.115583166666667,0.0858243760855686,284.275625,102.258690548021,53.875836,8
14.9625,313.692427466023,405502.234042086,4868.31197698449,0.197723580690618,0.114929958333333,0.086311913978769,284.027125,100.965444012153,53.875836,8
15.2875,313.375868367944,404023.473471774,4842.3269607907,0.195527406254549,0.114099583333333,0.0866507615566558,283.775125,99.6287040583659,53.875836,8
15.6125,313.07147484403,402535.899376119,4815.60776829887,0.19332736068511,0.113490875,0.0871693057599804,283.647875,98.6416835947746,53.875836,8
15.9375,312.779064167646,401039.2780598,4787.96805342743,0.191126733734292,0.112928,0.087735663232827,283.487041666667,97.4701289254635,53.875836,8
16.2625,312.498437699028,399523.23002912,4759.6276060593,0.188928228554965,0.112709958333333,0.0885852472087227,283.396666666667,96.4622500299405,53.875836,8
