z/D,Tb,hb,Reb,Ub,tau_w,Cf,Tw,Nub,G,p
21.7875,309.292676836901,374149.445205911,4194.47370028163,0.154281586062194,-0.015683804625,-0.0150950061208361,288.855125,98.6695988919368,53.875836,8
22.1125,309.179566649697,372685.233146671,4157.55144267152,0.152435221806821,-0.0158385054166667,-0.0154285401556071,288.670958333333,96.2920029726725,53.875836,8
22.4375,309.072832221532,371203.986658385,4119.9675603406,0.150592147855134,-0.0155452045833333,-0.0153281619095765,288.818958333333,95.4622194482735,53.875836,8
22.7625,308.972177888736,369717.586590654,4081.7460188699,0.148751038215323,-0.0155730322083333,-0.0155456591402173,288.619333333333,92.9884316770076,53.875836,8
23.0875,308.877291982916,368209.657099855,4042.72496464821,0.146908310951808,-0.0167742325875,-0.0169547839377994,288.409625,90.4888544935718,53.875836,8
23.4125,308.787861628945,366686.016681546,4002.78802919623,0.145062214918686,-0.0173932591666667,-0.0178042067403082,288.178041666667,87.9235810444587,53.875836,8
23.7375,308.703577303578,365172.277982296,3962.74726870657,0.143247091457106,-0.0182361366666667,-0.0189035334607981,288.168958333333,86.3558335989294,53.875836,8
24.0625,308.624203729253,363747.259668041,3924.75216756425,0.141552400338605,-0.017393971625,-0.0182464122902631,288.123125,84.7579659172593,53.875836,8
24.3875,308.54938222358,362169.291875392,3882.51223262207,0.139699712207535,-0.01683066125,-0.0178896412847631,288.055375,82.9218067016347,53.875836,8
24.7125,308.478894866085,360750.107589525,3843.98041423321,0.138045757454045,-0.0172059866666667,-0.0185077013431747,287.773375,80.4643484020532,53.875836,8
25.0375,308.412379982583,359249.019494903,3803.1847855055,0.136318072386519,-0.0184767445833333,-0.0201264873088319,287.521583333333,78.1236939635349,53.875836,8
25.3625,308.349626816651,357682.287544127,3760.2286322879,0.134536219234777,-0.0200284429166667,-0.0221056827454241,287.240708333333,75.712130850391,53.875836,8
25.6875,308.290330696336,356220.498420622,3720.04877895322,0.132895909992431,-0.0214695325,-0.0239887123717877,287.08125,73.9417271461366,53.875836,8
26.0125,308.234168464308,354761.151857657,3679.45465494266,0.13126187830054,-0.0209883579166667,-0.0237430119931248,286.964541666667,72.3950096075978,53.875836,8
26.3375,308.180843649044,353280.247577053,3638.36081357045,0.129636131177418,-0.0212779908333333,-0.0243725247798323,286.827625,70.8643942287995,53.875836,8
26.6625,308.130046322787,351791.158069668,3596.67005991937,0.128013912172333,-0.0205125979166667,-0.0237935619555373,286.671958333333,69.3719772620726,53.875836,8
26.9875,308.081454166335,350297.808324722,3554.56506650276,0.126399872892926,-0.0217986875,-0.025608236560927,286.256333333333,67.1868416398629,53.875836,8
27.3125,308.034734002092,348787.818056485,3512.02594792206,0.124791611532959,-0.02179769125,-0.0259370792140064,286.056708333333,65.8273501169682,53.875836,8
27.6375,307.989549522932,347267.38664209,3469.01206633603,0.123193524585599,-0.0230604404166667,-0.0277955762074922,285.962416666667,64.9200292595443,53.875836,8
27.9625,307.945565339925,345742.873077857,3425.75509716284,0.121607531637678,-0.0232873495833333,-0.028435152001552,285.8155,63.996225282849,53.875836,8
28.2875,307.902455305175,344246.805775129,3383.24235680923,0.12006997572004,-0.0245158533333333,-0.0303185590299526,285.457458333333,62.6316517110737,53.875836,8
28.6125,307.859909294607,342816.00896272,3342.63036513891,0.118624725471609,-0.0251457541666667,-0.031476425668379,285.079041666667,61.3892455239739,53.875836,8
28.9375,307.817623038486,341395.413693381,3302.16712383449,0.11720035887024,-0.0247175583333333,-0.0313164547594765,285.151041666666,61.4753213168742,53.875836,8
29.2625,307.775330562867,339896.363177441,3259.46891561094,0.115716823984236,-0.0250708945833333,-0.0321713503519498,284.672375,60.1740352326797,53.875836,8
29.5875,307.732921341777,338364.718911521,3215.79442030288,0.114221593569405,-0.0295335541666667,-0.0383940091769098,282.489958333333,54.9194927757251,53.875836,8
